property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Flat / apartment,Can Serra - Pubilla Cases,3,312000.0,58,3,1,0,1972.0,0,0,0,0,1,0,0,0,0,1,1,1.1163479984144167,1.2040170782564292,2.0306348219860992,12.65075846679162
Flat / apartment,La Florida,3,325000.0,125,4,2,1,1967.7446808510638,1,1,1,1,1,0,0,0,0,1,1,1.1163479984144167,1.5768255732273724,2.0306348219860992,12.691580461311874
Flat / apartment,Collblanc,3,209000.0,113,3,1,1,1962.1346153846155,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,2.0489907200696966,2.0306348219860992,12.250089530946948
Flat / apartment,Centre,3,225000.0,65,3,1,3,1974.1209677419354,1,0,0,1,1,0,0,0,0,0,1,1.1163479984144167,3.140219810596927,2.0306348219860992,12.323855681186558
Flat / apartment,Sants,5,315000.0,79,4,2,2,1960.328125,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.11537890421738,2.0306348219860992,12.66032791780777
Flat / apartment,Gràcia,5,395000.0,107,4,2,1,1972.0,1,1,1,1,1,1,0,0,0,0,0,3.086356414343004,6.362475886182783,2.0306348219860992,12.886641043883259
Detached house,La Salut,5,1985000.0,567,6,6,3,1990.0,0,0,1,1,1,0,1,1,1,0,1,3.086356414343004,2.95560987234748,4.819513954361332,14.501129472103427
Duplex,La Salut,5,453000.0,75,1,1,0,1975.8481012658228,1,1,0,0,0,0,0,0,0,1,1,3.086356414343004,2.95560987234748,2.866960588752642,13.023647404465171
Flat / apartment,La Salut,5,320000.0,100,2,2,0,1998.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,2.95560987234748,2.0306348219860992,12.676076274775909
Flat / apartment,La Salut,5,320000.0,82,1,1,2,1975.8481012658228,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,2.95560987234748,2.0306348219860992,12.676076274775909
Flat / apartment,La Teixonera,5,280000.0,65,2,1,1,2021.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,2.149632487563522,2.0306348219860992,12.542544882151386
Flat / apartment,La Teixonera,5,280000.0,65,2,1,1,2021.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,2.149632487563522,2.0306348219860992,12.542544882151386
Flat / apartment,La Teixonera,5,189000.0,96,3,1,0,1985.2698412698412,1,1,0,0,1,0,1,0,0,1,1,3.086356414343004,2.149632487563522,2.0306348219860992,12.14950229404178
Flat / apartment,El Congrés i els Indians,5,230000.0,95,3,1,0,1971.4166666666667,1,1,1,0,1,0,0,0,0,0,0,3.086356414343004,3.297612732095491,2.0306348219860992,12.345834587905333
Flat / apartment,El Parc i la Llacuna del Poblenou,5,710000.0,124,3,2,11,2012.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,4.942609115022909,2.0306348219860992,13.473020249017498
Flat / apartment,Centre,4,335000.0,75,2,1,1,1974.1209677419354,1,1,0,0,0,0,0,0,0,0,1,1.5998317954426178,3.140219810596927,2.0306348219860992,12.721885810807203
Flat / apartment,Centre,4,320000.0,75,1,1,1,1974.1209677419354,1,1,0,0,0,0,0,0,0,0,1,1.5998317954426178,3.140219810596927,2.0306348219860992,12.676076274775909
Flat / apartment,Centre,4,300000.0,85,2,2,0,1900.0,1,0,0,0,1,0,0,0,0,0,1,1.5998317954426178,3.140219810596927,2.0306348219860992,12.611537753638338
Flat / apartment,Bufalà,4,281000.0,130,3,2,0,2003.0,1,1,1,0,1,0,0,0,0,1,1,1.5998317954426178,3.186473793954524,2.0306348219860992,12.546109948315882
Flat / apartment,La Morera,4,280000.0,124,3,2,3,1988.0,0,1,1,1,1,0,0,0,0,0,1,1.5998317954426178,3.7799156016397397,2.0306348219860992,12.542544882151386
Flat / apartment,Montigalà,4,355000.0,91,3,2,4,1996.0,1,1,1,0,0,0,0,0,0,1,1,1.5998317954426178,4.372046057390885,2.0306348219860992,12.779873068457553
Flat / apartment,Bufalà,4,281000.0,130,3,2,0,2003.0,1,1,1,0,1,0,0,0,0,1,1,1.5998317954426178,3.186473793954524,2.0306348219860992,12.546109948315882
Flat / apartment,Badalona,4,479000.0,150,3,2,2,2020.0,0,1,1,0,1,0,0,0,0,1,1,1.5998317954426178,5.583817536309844,2.0306348219860992,13.079455876393052
Flat / apartment,Port,4,692000.0,143,4,2,1,2007.5,1,1,1,0,0,0,0,0,0,0,1,1.5998317954426178,5.284765632245739,2.0306348219860992,13.447341234599806
Flat / apartment,Casagemes,4,395000.0,120,2,2,0,2024.0,1,1,1,0,1,0,0,0,0,0,1,1.5998317954426178,4.367615143477212,2.0306348219860992,12.886641043883259
Flat / apartment,Puigfred,4,310000.0,82,3,2,1,1983.5555555555557,1,1,0,1,0,0,0,0,0,0,1,1.5998317954426178,2.5251340171764576,2.0306348219860992,12.644327576461329
Flat / apartment,Llefià - Sant Roc - Artigues,4,127500.0,83,2,1,2,1955.0,0,0,0,1,1,0,0,0,0,0,1,1.5998317954426178,1.3163660022475898,2.0306348219860992,11.755871643580617
Penthouse,Artigues,4,290000.0,143,3,1,7,1973.0,1,1,1,0,1,0,0,0,0,1,1,1.5998317954426178,2.477935857246202,3.0305791993286255,12.577636201962656
Semi-detached house,Badalona,4,349000.0,140,3,1,1,1975.8039215686274,0,0,1,1,1,0,0,0,0,1,1,1.5998317954426178,5.583817536309844,3.4085514742519782,12.762827201184564
Flat / apartment,La Salut,4,520000.0,217,3,1,1,1943.0,1,0,1,0,1,0,0,0,0,0,0,1.5998317954426178,2.95560987234748,2.0306348219860992,13.16158409055761
Flat / apartment,Pomar,4,299500.0,87,3,1,10,1969.0,1,1,0,1,1,0,0,0,0,0,1,1.5998317954426178,1.9373040752351098,2.0306348219860992,12.609869696537642
Flat / apartment,Port,4,699000.0,132,3,2,0,2004.0,1,1,1,0,1,0,0,0,0,0,1,1.5998317954426178,5.284765632245739,2.0306348219860992,13.457406021215947
Flat / apartment,Llefià,4,175900.0,77,3,1,2,1969.0,1,0,0,1,1,0,0,0,0,1,1,1.5998317954426178,1.9083622012974408,2.0306348219860992,12.077670930725649
Flat / apartment,Lloreda,4,266000.0,100,3,2,6,1975.0,1,1,0,0,1,0,0,0,0,0,1,1.5998317954426178,2.488128582293039,2.0306348219860992,12.491251587763836
Flat / apartment,Bonavista,4,266000.0,104,3,2,0,2008.0,1,1,0,0,1,0,1,0,0,0,1,1.5998317954426178,5.30696889317579,2.0306348219860992,12.491251587763836
Flat / apartment,La Salut,4,105000.0,60,3,1,2,1975.8481012658228,1,0,0,1,1,0,0,0,0,1,1,1.5998317954426178,2.95560987234748,2.0306348219860992,11.56171562913966
Duplex,Llefià - Sant Roc - Artigues,4,309000.0,122,4,2,2,1991.0,1,1,1,1,1,0,0,0,0,0,1,1.5998317954426178,1.3163660022475898,2.866960588752642,12.641096555879882
Flat / apartment,Badalona,4,185000.0,64,3,1,2,1973.0,1,0,0,1,1,0,0,0,0,1,1,1.5998317954426178,5.583817536309844,2.0306348219860992,12.128111104060462
Flat / apartment,Llefià,4,225000.0,63,2,2,2,2022.0,1,1,1,1,1,0,0,0,0,1,1,1.5998317954426178,1.9083622012974408,2.0306348219860992,12.323855681186558
Flat / apartment,Llefià,4,100000.0,82,2,1,2,1977.0166666666667,1,0,0,0,1,1,0,0,0,0,1,1.5998317954426178,1.9083622012974408,2.0306348219860992,11.512925464970229
Flat / apartment,La Pau,4,66800.0,44,2,1,0,1967.0,1,0,0,1,1,0,0,0,0,0,1,1.5998317954426178,1.0192465359574112,2.0306348219860992,11.109458359524737
Flat / apartment,Bonavista,4,266000.0,105,3,2,0,1986.8333333333333,0,1,0,0,1,0,1,0,0,0,1,1.5998317954426178,5.30696889317579,2.0306348219860992,12.491251587763836
