property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property
Flat / apartment,Vilapicina i la Torre Llobeta,Barcelona,320000.0,120,3,2,0,1975.4054054054054,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,3.4190342416204484,2.0306348219860992
Flat / apartment,Vilapicina i la Torre Llobeta,Barcelona,279990.0,83,4,1,1,1970.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,3.4190342416204484,2.0306348219860992
Flat / apartment,Nou Barris,Barcelona,275000.0,91,3,1,0,1971.581818181818,1,1,0,0,1,1,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992
Flat / apartment,Provençals del Poblenou,Barcelona,419000.0,104,4,2,2,1990.0,1,1,0,1,1,0,1,0,0,0,1,3.086356414343004,4.398477570891364,2.0306348219860992
Flat / apartment,Provençals del Poblenou,Barcelona,265000.0,57,2,1,0,1978.2666666666667,1,1,0,0,1,0,0,0,0,0,0,3.086356414343004,4.398477570891364,2.0306348219860992
Flat / apartment,Sant Martí,Barcelona,399000.0,96,3,2,3,1986.0,0,1,0,1,1,0,0,0,0,0,1,3.086356414343004,4.371079205477762,2.0306348219860992
Flat / apartment,Sant Martí,Barcelona,145000.0,77,3,1,4,1961.0,1,1,1,1,1,1,0,0,0,0,1,3.086356414343004,4.371079205477762,2.0306348219860992
Flat / apartment,Hostafrancs,Barcelona,290000.0,60,3,1,1,1936.0,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,2.8562462322160598,2.0306348219860992
Flat / apartment,Hostafrancs,Barcelona,290000.0,60,2,1,1,1936.0,1,1,0,1,1,0,0,0,0,0,0,3.086356414343004,2.8562462322160598,2.0306348219860992
Flat / apartment,Hostafrancs,Barcelona,179000.0,73,3,1,1,1930.0,1,1,1,0,1,0,0,0,0,0,1,3.086356414343004,2.8562462322160598,2.0306348219860992
Flat / apartment,Hostafrancs,Barcelona,190000.0,40,1,1,0,1900.0,1,0,1,0,1,0,0,0,0,1,1,3.086356414343004,2.8562462322160598,2.0306348219860992
Penthouse,Hostafrancs,Barcelona,680000.0,135,3,2,2,1973.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,2.8562462322160598,3.0305791993286255
Flat / apartment,Sants-Montjuïc,Barcelona,214001.0,52,1,1,2,1962.0681818181818,1,1,0,0,1,0,0,0,0,0,0,3.086356414343004,3.1317820110923558,2.0306348219860992
Terraced house,Pedralbes,Barcelona,2200000.0,360,4,4,0,1988.0,0,0,1,1,1,0,1,1,1,1,1,3.086356414343004,12.04174482504791,3.551799764176225
Flat / apartment,Pedralbes,Barcelona,650000.0,83,2,2,4,1953.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,12.04174482504791,2.0306348219860992
Flat / apartment,Les Corts,Barcelona,615000.0,93,4,2,0,1968.2851063829787,1,1,0,0,1,0,1,0,0,1,0,3.086356414343004,7.1237893952033104,2.0306348219860992
Flat / apartment,Pedralbes,Barcelona,490000.0,85,3,2,4,1971.0,1,1,0,1,1,0,1,0,0,1,1,3.086356414343004,12.04174482504791,2.0306348219860992
Detached house,Les Corts,Barcelona,1800000.0,214,6,2,2,1940.0,0,0,0,0,1,1,1,1,1,0,1,3.086356414343004,7.1237893952033104,4.819513954361332
Flat / apartment,Sant Genís Dels Agudells - Montbau,Barcelona,171000.0,63,3,1,0,1962.0,1,1,0,0,1,1,0,0,0,0,0,3.086356414343004,3.0566071859175308,2.0306348219860992
Flat / apartment,Navas,Barcelona,290000.0,63,1,1,1,1910.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.776064126123579,2.0306348219860992
Flat / apartment,Navas,Barcelona,360000.0,107,2,2,0,1947.25,1,1,0,0,0,0,0,0,0,0,1,3.086356414343004,3.776064126123579,2.0306348219860992
Flat / apartment,Sant Martí,Barcelona,435000.0,68,3,1,2,1957.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,4.371079205477762,2.0306348219860992
Flat / apartment,El Poblenou,Barcelona,345000.0,95,2,1,0,1930.0,1,1,1,0,1,0,0,0,0,0,1,3.086356414343004,5.68448275862069,2.0306348219860992
Flat / apartment,El Poblenou,Barcelona,460000.0,89,4,2,3,1978.0,1,1,1,1,1,1,1,0,0,0,1,3.086356414343004,5.68448275862069,2.0306348219860992
