property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price,price_bin
Flat / apartment,Ciutat Vella,Barcelona,549000.0,152,2,1,3,1850.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.215853720491667,301k-1.5M
Flat / apartment,El Raval,Barcelona,160000.0,44,2,1,1,1911.8142857142857,0,0,0,0,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,11.982929094215963,81k-300k
Flat / apartment,El Raval,Barcelona,470000.0,104,2,1,0,2020.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.06048797368624,301k-1.5M
Penthouse,El Raval,Barcelona,146000.0,46,2,1,7,1870.0,1,0,1,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,3.030579199328625,11.891361900690471,81k-300k
Flat / apartment,El Raval,Barcelona,999000.0,157,3,2,3,1911.8142857142857,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.81451005763069,301k-1.5M
Flat / apartment,El Raval,Barcelona,460000.0,83,1,2,1,2020.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.038981768465275,301k-1.5M
Penthouse,El Raval,Barcelona,250000.0,40,1,1,4,1900.0,1,0,1,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,3.030579199328625,12.429216196844385,81k-300k
Flat / apartment,El Raval,Barcelona,199000.0,57,1,1,2,2001.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.201060103706627,81k-300k
Flat / apartment,El Raval,Barcelona,378000.0,53,1,1,4,1900.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.842649474601725,301k-1.5M
Flat / apartment,El Raval,Barcelona,330000.0,55,1,1,1,1900.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.706847933442663,301k-1.5M
Flat / apartment,El Raval,Barcelona,259000.0,65,2,1,3,2006.0,1,1,0,1,1,0,1,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.464583340681674,81k-300k
Flat / apartment,El Raval,Barcelona,770000.0,140,7,3,2,1911.8142857142857,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.554145793829866,301k-1.5M
Flat / apartment,El Raval,Barcelona,245000.0,63,3,1,2,1859.0,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.409013489526863,81k-300k
Flat / apartment,El Raval,Barcelona,185000.0,45,0,1,1,1911.8142857142857,1,1,0,1,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,1.0,12.128111104060462,81k-300k
Penthouse,Ciutat Vella,Barcelona,350000.0,66,3,2,1,1963.0,1,1,1,1,1,0,0,0,0,1,0,3.086356414343004,5.078603488027523,3.030579199328625,12.765688433465597,301k-1.5M
Flat / apartment,El Raval,Barcelona,161500.0,63,2,1,1,1900.0,0,0,0,1,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,11.992260421644849,81k-300k
Flat / apartment,El Raval,Barcelona,850000.0,240,8,4,2,1911.8142857142857,1,0,1,1,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.652991628466498,301k-1.5M
Flat / apartment,El Raval,Barcelona,295000.0,82,3,1,3,1900.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.594730635321955,81k-300k
Flat / apartment,El Raval,Barcelona,195000.0,46,1,1,2,1911.8142857142857,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.180754837545884,81k-300k
